"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Vegetatie"	"{B2C46D6D-4793-4c5b-9744-86F8496CF102}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"EcoMaatregelRelatie"	"{8ACEF953-0A77-446e-AFC7-CE11509A8184}"	""	""	""	""	"Ecologische maatregel relatie"	"Abstracte om de relaties van de verschillende soorten ecologische maatregelen te groeperen."	""	"Ecologische maatregel relatie"	"Abstracte om de relaties van de verschillende soorten ecologische maatregelen te groeperen."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	"EcoMaatregelRelatie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Abstracten"	"Draagconstructie"	"{C1093B52-E90F-4b82-A3D3-DB7D8AAE1271}"	""	""	""	""	"Draagconstructie"	"Abstracte voor alle draagconstructies."	""	"Draagconstructie"	"Abstracte voor alle draagconstructies."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	"Draagconstructie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"WWSvlakdetectie"	"{13DAA117-8644-4b93-9E2F-BCD0CF0C4C0D}"	"WWSdetectie"	""	""	""	"Vlakdetectie"	"De vlakdetectie screent op een ruimere zone passerende dieren via sensoren."	""	"Vlakdetectie"	"De vlakdetectie screent op een ruimere zone passerende dieren via sensoren."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"WWSvlakdetectie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#WWSdetectie"	""	""
"CLASS"	"OSLO-Onderdeel"	"WWSlijndetectie"	"{40A738DA-0ED9-4c06-B74E-61BE7056D5F7}"	"WWSdetectie"	""	""	""	"Lijndetectie"	"De lijndetectie stuurt een systeem in werking als een infraroodstraal wordt onderbroken."	""	"Lijndetectie"	"De lijndetectie stuurt een systeem in werking als een infraroodstraal wordt onderbroken."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"WWSlijndetectie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#WWSdetectie"	""	""
"CLASS"	"OSLO-Onderdeel"	"WWSdetectie"	"{0A5BD35A-946D-4423-B9A3-079318735031}"	""	""	""	""	"Wildwaarschuwingsdetectie"	"Abstracte voor het wildwaarschuwingsdetectie systeem."	""	"Wildwaarschuwingsdetectie"	"Abstracte voor het wildwaarschuwingsdetectie systeem."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"WWSdetectie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"WWSsluis"	"{4B6C4ED1-C3F4-4c00-86F5-3E88422E9B96}"	""	""	""	""	"Wildwaarschuwingssluis"	"Een onderbreking in het ecoraster waar een wildwaarschuwingssysteem is geïnstalleerd zodoende de voertuigen te waarschuwen voor overstekende dieren."	""	"Wildwaarschuwingssluis"	"Een onderbreking in het ecoraster waar een wildwaarschuwingssysteem is geïnstalleerd zodoende de voertuigen te waarschuwen voor overstekende dieren."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"WWSsluis"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Installatie"	"Gronddam"	"{F3591EF0-2975-4b71-B4DB-13AD2C47410E}"	""	""	""	""	"Gronddam"	"Gronddammen zijn trapeziumvormige constructies bestaande uit zand, grond of steenachtige materialen. De onderkant van de gronddam wordt direct op het bestaand maaiveld aangebracht of op een vooraf aangebrachte grondverbetering."	""	"Gronddam"	"Gronddammen zijn trapeziumvormige constructies bestaande uit zand, grond of steenachtige materialen. De onderkant van de gronddam wordt direct op het bestaand maaiveld aangebracht of op een vooraf aangebrachte grondverbetering."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/installatie#"	"Gronddam"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Seinbrug"	"{22A092A4-1630-4acd-BE42-D80F702B4D49}"	""	""	""	""	"Seinbrug"	"Metalen constructie bestaande uit 2 of meer verticale steunen met voetplaat en uit een enkele of een dubbel uitgevoerde horizontale dwarsverbinding, allen kokervormig met rechthoekige doorsnede. Ook wel portiek of portaal genoemd"	""	"Seinbrug"	"Metalen constructie bestaande uit 2 of meer verticale steunen met voetplaat en uit een enkele of een dubbel uitgevoerde horizontale dwarsverbinding, allen kokervormig met rechthoekige doorsnede. Ook wel portiek of portaal genoemd"	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"Seinbrug"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#VRIDraagConstructie, https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#SteunStandaard"	""	""
"CLASS"	"OSLO-Onderdeel"	"Boombrug"	"{15F418B4-3017-45ce-BC32-E7F8618A9202}"	"EcoMaatregelRelatie"	""	""	""	"Boombrug"	"Een eenvoudige constructie die een oversteek biedt voor soorten die in bomen leven, voornamelijk eekhoorns."	""	"Boombrug"	"Een eenvoudige constructie die een oversteek biedt voor soorten die in bomen leven, voornamelijk eekhoorns."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"Boombrug"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#EcoMaatregelRelatie"	""	""
"CLASS"	"OSLO-Installatie"	"Ecovallei"	"{C53C20A6-7968-4f44-A2E0-9982FC51F6BC}"	"EcoMaatregelRelatie"	""	""	""	"Ecovallei"	"Een vallei onder de verkeersbrug waar het landschap gewoon onderdoor loopt en minimaal wordt verstoord."	""	"Ecovallei"	"Een vallei onder de verkeersbrug waar het landschap gewoon onderdoor loopt en minimaal wordt verstoord."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/installatie#"	"Ecovallei"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#EcoMaatregelRelatie"	""	""
"CLASS"	"OSLO-Onderdeel"	"Afscherming"	"{E89EDEBE-7907-41f3-9A5C-F923B62DFE93}"	""	""	""	""	"Afscherming"	"Schermen of wallen op de rand van het ecoduct die er voor zorgen ervoor dat dieren op de brug niet afgeschrikt worden door de lichten van voorbijrijdende voertuigen."	""	"Afscherming"	"Schermen of wallen op de rand van het ecoduct die er voor zorgen ervoor dat dieren op de brug niet afgeschrikt worden door de lichten van voorbijrijdende voertuigen."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"Afscherming"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"AndereEcologischeMaatregel"	"{6BCF4B2E-1454-428a-826C-DBD6E49F8F33}"	"EcoMaatregelRelatie"	""	""	""	"Andere ecologische maatregelen"	"Abstracte voor ecologische maatregelen anders dan ecoduct, ecotunnels, ecovallei, ecokoker en ecoduiker."	""	"Andere ecologische maatregelen"	"Abstracte voor ecologische maatregelen anders dan ecoduct, ecotunnels, ecovallei, ecokoker en ecoduiker."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"AndereEcologischeMaatregel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#EcoMaatregelRelatie"	""	""
"CLASS"	"OSLO-Onderdeel"	"Veerooster"	"{1A0BC53D-351E-46a9-908F-882F1B01503D}"	""	""	""	""	"Veerooster"	"Een veerooster is een infrastructurele voorziening die is aangebracht in het wegdek om te voorkomen dat vee een gebied binnenkomt of verlaat."	""	"Veerooster"	"Een veerooster is een infrastructurele voorziening die is aangebracht in het wegdek om te voorkomen dat vee een gebied binnenkomt of verlaat."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"Veerooster"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Onderdeel"	"Stobbenwal"	"{02590B66-4BCC-4264-B32A-108DB928AA9C}"	"Geleiding"	""	""	""	"Stobbenwal"	"Wortelkluiten of ander houtmateriaal (zoals stamhout) om beschutting en geleiding van kleinere siersoorten zoals muizen, egels."	""	"Stobbenwal"	"Wortelkluiten of ander houtmateriaal (zoals stamhout) om beschutting en geleiding van kleinere siersoorten zoals muizen, egels."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"Stobbenwal"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#Geleiding"	""	""
"CLASS"	"OSLO-Installatie"	"Ecoduiker"	"{F2730292-C76F-4c47-B96E-11DBB15F9477}"	"EcoMaatregelRelatie"	""	""	""	"Ecoduiker"	"Buis- of tunnelvormige doorgang voor water onder een weg, die is voorzien van een oeverstrook of van looprichels zodat kleinere diersoorten beschermd voor het verkeer kunnen doorsteken."	""	"Ecoduiker"	"Buis- of tunnelvormige doorgang voor water onder een weg, die is voorzien van een oeverstrook of van looprichels zodat kleinere diersoorten beschermd voor het verkeer kunnen doorsteken."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/installatie#"	"Ecoduiker"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#EcoMaatregelRelatie"	""	""
"CLASS"	"OSLO-Abstracten"	"Geleiding"	"{7346FA01-2AB1-4c32-ABFB-E9444CC77577}"	""	""	""	""	"Geleiding"	"Abstracte voor de geleidingsobjecten bij ecologische maatregelen."	""	"Geleiding"	"Abstracte voor de geleidingsobjecten bij ecologische maatregelen."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	"Geleiding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Installatie"	"Ecoduct"	"{B10DAB45-8E2D-4c5b-9D84-F0F320AC2C64}"	"EcoMaatregelRelatie"	""	""	""	"Ecoduct"	"Ecoducten of natuurbruggen zorgen ervoor dat dieren veilig de weg kunnen oversteken."	""	"Ecoduct"	"Ecoducten of natuurbruggen zorgen ervoor dat dieren veilig de weg kunnen oversteken."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/installatie#"	"Ecoduct"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#EcoMaatregelRelatie"	""	""
"CLASS"	"OSLO-Installatie"	"Ecotunnel"	"{76BEA703-445C-4e4e-AD6E-255EC66E5FA1}"	"EcoMaatregelRelatie"	""	""	""	"Ecotunnel"	"Een (grote) ecotunnel is een tunnel onder een grote weg, waarlangs dieren veilig de overkant kunnen bereiken."	""	"Ecotunnel"	"Een (grote) ecotunnel is een tunnel onder een grote weg, waarlangs dieren veilig de overkant kunnen bereiken."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/installatie#"	"Ecotunnel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#EcoMaatregelRelatie"	""	""
"CLASS"	"OSLO-Abstracten"	"Laag"	"{58E7E3BD-A9A9-4e04-957D-942F897D7ED8}"	""	""	""	""	"Laag"	"Abstracte voor de gemeenschappelijke eigenschappen van de onderliggende verhardings- en funderings-onderdelen."	""	"Laag"	"Abstracte voor de gemeenschappelijke eigenschappen van de onderliggende verhardings- en funderings-onderdelen."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	"Laag"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Abstracten"	"ConstructieElement"	"{917FBCD6-FAE5-4b0a-94ED-2D7B8053BE7C}"	""	""	""	""	"Constructie element"	"Abstracte voor de verschillende constructie elementen."	""	"Constructie element"	"Abstracte voor de verschillende constructie elementen."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	"ConstructieElement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Abstracten"	"LEDBordToegang"	"{F9FCD18B-B222-479b-A20F-9EFDFF7C1F86}"	""	""	""	""	"Ledbord toegang"	"Abstracte als toegang tot de verschillende ledborden."	""	"Ledbord toegang"	"Abstracte als toegang tot de verschillende ledborden."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	"LEDBordToegang"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Installatie"	"VleermuisvriendelijkeVerlichting"	"{C2365CCF-095D-465d-A39C-F911478F63E4}"	"AndereEcologischeMaatregel"	""	""	""	"Vleermuisvriendelijke verlichting"	"Verlichting op gemengde natuurbruggen of -tunnels aangepast zodat deze vleermuisvriendelijk gemaakt worden."	""	"Vleermuisvriendelijke verlichting"	"Verlichting op gemengde natuurbruggen of -tunnels aangepast zodat deze vleermuisvriendelijk gemaakt worden."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/installatie#"	"VleermuisvriendelijkeVerlichting"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#AndereEcologischeMaatregel"	""	""
"CLASS"	"OSLO-Onderdeel"	"Geleidingswand"	"{B22EA516-5285-459f-A27A-6CAA8AE70FE2}"	"Geleiding"	""	""	""	"Geleidingswand"	"Een geleidingswand geleid kleinere dieren zoals amfibieën naar kleinere ecokokers,ecoduikers,..."	""	"Geleidingswand"	"Een geleidingswand geleid kleinere dieren zoals amfibieën naar kleinere ecokokers,ecoduikers,..."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"Geleidingswand"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#Geleiding"	""	""
"CLASS"	"OSLO-Installatie"	"Ecokoker"	"{85C10327-CF3B-45d8-B9A2-25717BA3BBFD}"	"EcoMaatregelRelatie"	""	""	""	"Ecokoker"	"Een kleine ecotunnel of ecokoker is een doorgang voor dieren onder een weg of spoorweg."	""	"Ecokoker"	"Een kleine ecotunnel of ecokoker is een doorgang voor dieren onder een weg of spoorweg."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/installatie#"	"Ecokoker"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#EcoMaatregelRelatie"	""	""
"CLASS"	"OSLO-Onderdeel"	"Rioleringsbuis"	"{778272F6-2241-4617-8DA3-23382122582B}"	""	""	""	""	"Rioleringsbuis"	"Ondergronds kanaal of pijp voor gravitaire afvoer van water."	""	"Rioleringsbuis"	"Ondergronds kanaal of pijp voor gravitaire afvoer van water."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"Rioleringsbuis"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#Buis"	""	""
"CLASS"	"OSLO-Installatie"	"Wildwaarschuwingssysteem"	"{D29CDC18-5B4A-4ca8-8AD8-1251EF4667B5}"	"AndereEcologischeMaatregel"	""	""	""	"Wildwaarschuwingssysteem"	"Wildwaarschuwingssysteem (wilddetectiesystemen) registreren de beweging van dieren in de omgeving van de weg. Vervolgens kan het chauffeurs waarschuwen dat er zich dieren op de weg bevinden, zodat ze op tijd hun snelheid kunnen aanpassen."	""	"Wildwaarschuwingssysteem"	"Wildwaarschuwingssysteem (wilddetectiesystemen) registreren de beweging van dieren in de omgeving van de weg. Vervolgens kan het chauffeurs waarschuwen dat er zich dieren op de weg bevinden, zodat ze op tijd hun snelheid kunnen aanpassen."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/installatie#"	"Wildwaarschuwingssysteem"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#AndereEcologischeMaatregel"	""	""
